site_id	site_name	wildcard_sub_id	lpi_id	spi_id	circle_no	circle_radius	plot_sampled	sampled_area	inventory_year	consistent_id_standign	consistent_id_lying	other	geom	slope	topo	expo	elev_center	elev_range
03-017	Grosser Staufenberg	\N	1	\N	\N	\N	Y	9600	1999	Y	N	\N	POINT (4365020.55430929 3168444.46908447)	21.2	upper slope	S	520	\N
03-017	Grosser Staufenberg	\N	2	\N	\N	\N	Y	4800	1999	Y	N	\N	POINT (4365016.32170766 3168631.22711313)	23	upper slope	NE	536	\N
03-017	Grosser Staufenberg	\N	1	\N	\N	\N	Y	9600	2014	Y	Y	\N	POINT (4365020.55430929 3168444.46908447)	21.2	upper slope	S	520	\N
03-017	Grosser Staufenberg	\N	2	\N	\N	\N	Y	4800	2014	Y	Y	\N	POINT (4365016.32170766 3168631.22711313)	23	upper slope	NE	536	\N
03-017	Grosser Staufenberg	\N	1	\N	\N	\N	Y	9600	2021	Y	Y	\N	POINT (4365020.55430929 3168444.46908447)	21.2	upper slope	S	520	\N
03-017	Grosser Staufenberg	\N	2	\N	\N	\N	Y	4800	2021	Y	Y	\N	POINT (4365016.32170766 3168631.22711313)	23	upper slope	NE	536	\N
03-049	Haringer Berg	\N	1	\N	\N	\N	Y	10000	1973	\N	\N	\N	POINT (4342280.95433538 3208801.90333501)	4.9	upper slope	SE	281	\N
03-049	Haringer Berg	\N	1	\N	\N	\N	Y	10000	1997	Y	N	\N	POINT (4342280.95433538 3208801.90333501)	4.9	upper slope	SE	281	\N
03-049	Haringer Berg	\N	1	\N	\N	\N	Y	10000	2012	Y	Y	\N	POINT (4342280.95433538 3208801.90333501)	4.9	upper slope	SE	281	\N
03-049	Haringer Berg	\N	1	\N	\N	\N	Y	10000	2022	Y	Y	\N	POINT (4342280.95433538 3208801.90333501)	4.9	upper slope	SE	281	\N
06-009	Hasenblick	a	\N	21	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225011.975124123106305.01521422)	10	middle slope	N	441.27499	\N
06-009	Hasenblick	a	\N	21	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225011.975124123106305.01521422)	10	middle slope	N	441.27499	\N
06-009	Hasenblick	b	\N	1	1	17.84	Y	500	1988	\N	\N	\N	POINT (4225701.526635873106100.2147733)	29	lower slope	NE	372.19	\N
06-009	Hasenblick	b	\N	2	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225603.681342033106104.04744553)	21	middle slope	N	386.091	\N
06-009	Hasenblick	b	\N	3	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225505.875885143106098.32862634)	26	middle slope	NE	390.22299	\N
06-009	Hasenblick	b	\N	4	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225406.161032913106097.06646269)	19	middle slope	E	391.24301	\N
06-009	Hasenblick	b	\N	5	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225305.675520733106100.89539676)	17	middle slope	E	417.634	\N
06-009	Hasenblick	b	\N	6	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225205.550366063106101.07903564)	11	middle slope	NE	431.50299	\N
06-009	Hasenblick	b	\N	7	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225106.986958073106109.45208457)	0	middle slope	NE	443.297	\N
06-009	Hasenblick	b	\N	20	1	17.84	Y	500	1988	\N	\N	\N	POINT (4225006.132069143106202.10504393)	9	middle slope	NE	447.57001	\N
06-009	Hasenblick	b	\N	22	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225019.542471713106404.56139544)	20	middle slope	NW	430.871	\N
06-009	Hasenblick	b	\N	25	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4224918.658041263105704.83528104)	21	upper slope	S	450.944	\N
06-009	Hasenblick	b	\N	33	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4224913.566973843106302.7650933)	13	upper slope	NE	447.05099	\N
06-009	Hasenblick	b	\N	35	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225110.794994463106204.6693981)	11	middle slope	E	439.03601	\N
06-009	Hasenblick	b	\N	36	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225208.602793363106197.35682241)	12	middle slope	NE	423.74399	\N
06-009	Hasenblick	b	\N	37	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225308.724078033106197.62328259)	11	middle slope	NE	417.13901	\N
06-009	Hasenblick	b	\N	38	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225407.579145173106198.9072302)	20	middle slope	E	399.32401	\N
06-009	Hasenblick	b	\N	39	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225512.119237063106191.72235047)	26	middle slope	SE	376.927	\N
06-009	Hasenblick	b	\N	51	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225212.538600413105998.92291484)	24	upper slope	NE	430.43301	\N
06-009	Hasenblick	b	\N	52	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225310.346084813106002.59145902)	20	middle slope	N	412.276	\N
06-009	Hasenblick	b	\N	53	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225407.875422743105999.79318405)	22	upper slope	N	411.22198	\N
06-009	Hasenblick	b	\N	54	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225502.592964563105993.94319068)	0	upper slope	N	409.88	\N
06-009	Hasenblick	b	\N	55	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225602.719173873105998.97010209)	19	upper slope	NE	401.651	\N
06-009	Hasenblick	b	\N	56	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225707.141305883106000.73776771)	18	middle slope	NE	389.577	\N
06-009	Hasenblick	b	\N	59	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225203.257454513105898.37016114)	19	middle slope	NE	433.89999	\N
06-009	Hasenblick	b	\N	60	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225313.892226713105898.8324049)	14	middle slope	N	427.25	\N
06-009	Hasenblick	b	\N	61	1	17.84	Y	500	1988	\N	\N	\N	POINT (4225510.966078513105898.73877529)	17	upper slope	NE	425.466	\N
06-009	Hasenblick	b	\N	62	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225609.8182763105892.47203262)	20	upper slope	NE	413.57599	\N
06-009	Hasenblick	b	\N	63	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225713.652409213105898.05814816)	20	middle slope	E	395.08301	\N
06-009	Hasenblick	b	\N	64	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225813.788034723105792.24384898)	23	middle slope	N	397.33099	\N
06-009	Hasenblick	b	\N	65	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225816.695209623105695.1642409)	10	middle slope	NE	407.452	\N
06-009	Hasenblick	b	\N	66	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225718.28233273105793.83418566)	18	upper slope	NE	410.61801	\N
06-009	Hasenblick	b	\N	67	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225216.02218323106305.12585712)	25	middle slope	SE	424.62201	\N
06-009	Hasenblick	b	\N	68	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225215.541602083106395.33151283)	17	middle slope	E	434.27301	\N
06-009	Hasenblick	b	\N	69	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225221.539400513106502.99004967)	30	middle slope	N	417.10999	\N
06-009	Hasenblick	b	\N	70	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225226.005159333106600.9686366)	35	upper slope	N	390.56299	\N
06-009	Hasenblick	b	\N	71	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225124.701257233106497.79806345)	32	middle slope	NW	416.51999	\N
06-009	Hasenblick	b	\N	72	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225120.658370553106399.29362807)	11	upper slope	N	442.319	\N
06-009	Hasenblick	b	\N	73	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225132.025002913106310.93881033)	10	upper slope	E	440.60999	\N
06-009	Hasenblick	b	\N	74	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225416.117325633106296.30987807)	20	middle slope	NE	395.36099	\N
06-009	Hasenblick	b	\N	75	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225416.283169573106393.58737638)	33	middle slope	SE	386.289	\N
06-009	Hasenblick	b	\N	76	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225420.591999543106494.72843091)	20	upper slope	NE	376.78101	\N
06-009	Hasenblick	b	\N	77	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225323.711510343106499.6380139)	37	middle slope	NE	395.15701	\N
06-009	Hasenblick	b	\N	78	1	17.84	Y	500	1988	\N	\N	\N	POINT (4225325.533789823106596.64276939)	25	middle slope	NE	375.388	\N
06-009	Hasenblick	b	\N	79	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225323.154552853106394.94513145)	27	middle slope	SE	410.16599	\N
06-009	Hasenblick	b	\N	80	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225326.320901253106294.14156512)	20	middle slope	NE	401.77701	\N
06-009	Hasenblick	b	\N	81	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225513.386330383106300.8259245)	28	middle slope	NE	373.16901	\N
06-009	Hasenblick	b	\N	82	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4225515.264633143106395.33965295)	16	lower slope	E	366.12299	\N
06-009	Hasenblick	b	\N	1	1	17.84	Y	500	2012	Y	Y	\N	POINT (4225701.526635873106100.2147733)	29	lower slope	NE	372.19	\N
06-009	Hasenblick	b	\N	2	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225603.681342033106104.04744553)	21	middle slope	N	386.091	\N
06-009	Hasenblick	b	\N	3	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225505.875885143106098.32862634)	26	middle slope	NE	390.22299	\N
06-009	Hasenblick	b	\N	4	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225406.161032913106097.06646269)	19	middle slope	E	391.24301	\N
06-009	Hasenblick	b	\N	5	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225305.675520733106100.89539676)	17	middle slope	E	417.634	\N
06-009	Hasenblick	b	\N	6	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225205.550366063106101.07903564)	11	middle slope	NE	431.50299	\N
06-009	Hasenblick	b	\N	7	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225106.986958073106109.45208457)	0	middle slope	NE	443.297	\N
06-009	Hasenblick	b	\N	20	1	17.84	Y	500	2012	Y	Y	\N	POINT (4225006.132069143106202.10504393)	9	middle slope	NE	447.57001	\N
06-009	Hasenblick	b	\N	22	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225019.542471713106404.56139544)	20	middle slope	NW	430.871	\N
06-009	Hasenblick	b	\N	25	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4224918.658041263105704.83528104)	21	upper slope	S	450.944	\N
06-009	Hasenblick	b	\N	33	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4224913.566973843106302.7650933)	13	upper slope	NE	447.05099	\N
06-009	Hasenblick	b	\N	35	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225110.794994463106204.6693981)	11	middle slope	E	439.03601	\N
06-009	Hasenblick	b	\N	36	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225208.602793363106197.35682241)	12	middle slope	NE	423.74399	\N
06-009	Hasenblick	b	\N	37	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225308.724078033106197.62328259)	11	middle slope	NE	417.13901	\N
06-009	Hasenblick	b	\N	38	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225407.579145173106198.9072302)	20	middle slope	E	399.32401	\N
06-009	Hasenblick	b	\N	39	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225512.119237063106191.72235047)	26	middle slope	SE	376.927	\N
06-009	Hasenblick	b	\N	51	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225212.538600413105998.92291484)	24	upper slope	NE	430.43301	\N
06-009	Hasenblick	b	\N	52	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225310.346084813106002.59145902)	20	middle slope	N	412.276	\N
06-009	Hasenblick	b	\N	53	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225407.875422743105999.79318405)	22	upper slope	N	411.22198	\N
06-009	Hasenblick	b	\N	54	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225502.592964563105993.94319068)	0	upper slope	N	409.88	\N
06-009	Hasenblick	b	\N	55	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225602.719173873105998.97010209)	19	upper slope	NE	401.651	\N
06-009	Hasenblick	b	\N	56	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225707.141305883106000.73776771)	18	middle slope	NE	389.577	\N
06-009	Hasenblick	b	\N	59	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225203.257454513105898.37016114)	19	middle slope	NE	433.89999	\N
06-009	Hasenblick	b	\N	60	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225313.892226713105898.8324049)	14	middle slope	N	427.25	\N
06-009	Hasenblick	b	\N	61	1	17.84	Y	500	2012	Y	Y	\N	POINT (4225510.966078513105898.73877529)	17	upper slope	NE	425.466	\N
06-009	Hasenblick	b	\N	62	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225609.8182763105892.47203262)	20	upper slope	NE	413.57599	\N
06-009	Hasenblick	b	\N	63	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225713.652409213105898.05814816)	20	middle slope	E	395.08301	\N
06-009	Hasenblick	b	\N	64	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225813.788034723105792.24384898)	23	middle slope	N	397.33099	\N
06-009	Hasenblick	b	\N	65	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225816.695209623105695.1642409)	10	middle slope	NE	407.452	\N
06-009	Hasenblick	b	\N	66	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225718.28233273105793.83418566)	18	upper slope	NE	410.61801	\N
06-009	Hasenblick	b	\N	67	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225216.02218323106305.12585712)	25	middle slope	SE	424.62201	\N
06-009	Hasenblick	b	\N	68	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225215.541602083106395.33151283)	17	middle slope	E	434.27301	\N
06-009	Hasenblick	b	\N	69	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225221.539400513106502.99004967)	30	middle slope	N	417.10999	\N
06-009	Hasenblick	b	\N	70	1	17.84	Y	1000	2012	Y	Y	\N	POINT (4225226.005159333106600.9686366)	35	upper slope	N	390.56299	\N
